gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,csho,costat,prcc_c
012075,20060630,2006,INDL,C,D,STD,BYI,USD,52.3540,I,18.6800
012189,20061231,2006,INDL,C,D,STD,XRIT,USD,28.5690,I,12.3000
012233,20061231,2006,INDL,C,D,STD,GENZ,USD,263.0260,I,61.5800
012389,20061231,2006,INDL,C,D,STD,HOG,USD,258.0520,A,70.4700
012445,20061231,2006,INDL,C,D,STD,WTS,USD,38.5330,A,41.1100
012578,20061231,2006,INDL,C,D,STD,VHI,USD,114.8960,A,25.9800
012785,20060930,2006,INDL,C,D,STD,PPC,USD,66.5560,A,29.4300
012788,20060630,2006,INDL,C,D,STD,HAR,USD,66.0650,I,99.9100
013200,20061031,2006,INDL,C,D,STD,PLAB,USD,41.4850,A,16.3400
013623,20061231,2006,INDL,C,D,STD,CNMD,USD,27.9820,A,23.1200
013700,20061231,2006,INDL,C,D,STD,XRAY,USD,151.8000,A,29.8500
013971,20061231,2006,INDL,C,D,STD,MEOH,USD,105.8010,A,27.3700
014049,20061231,2006,INDL,C,D,STD,GNA,USD,305.3770,I,8.9200
014282,20061231,2006,INDL,C,D,STD,APH,USD,89.1330,A,62.0800
014538,20061231,2006,INDL,C,D,STD,TEVA,USD,758.0000,A,31.0800
014563,20061231,2006,INDL,C,D,STD,MERC,USD,35.4650,A,11.8700
014620,20061231,2006,INDL,C,D,STD,ELUXY,USD,139.4670,A,40.0410
015070,20061231,2006,INDL,C,D,STD,SU,CAD,459.9440,A,91.7900
015106,20061231,2006,INDL,C,D,STD,BEC,USD,61.0000,I,59.8000
015110,20061231,2006,INDL,C,D,STD,LYO,USD,248.9700,I,25.5700
015150,20061231,2006,INDL,C,D,STD,PCZ,CAD,497.5380,I,47.7500
015247,20061231,2006,INDL,C,D,STD,VLO,USD,603.7630,A,51.1600
015252,20061231,2006,INDL,C,D,STD,TRS,USD,20.7600,A,
015267,20061231,2006,INDL,C,D,STD,IEX,USD,53.6970,A,47.4100
015444,20061231,2006,INDL,C,D,STD,CRH,USD,542.1620,A,42.5000
015709,20061231,2006,INDL,C,D,STD,PCL,USD,177.1000,I,39.8500
016401,20070331,2006,INDL,C,D,STD,CRUS,USD,88.1630,A,6.8800
016477,20061231,2006,INDL,C,D,STD,LEA,USD,76.2520,A,29.5300
017110,20060831,2006,INDL,C,D,STD,SLR,USD,905.8000,I,3.2200
018636,20060630,2006,INDL,C,D,STD,DEO,USD,689.2500,A,79.3100
020185,20060930,2006,INDL,C,D,STD,SMG,USD,65.1000,A,51.6500
020309,20061231,2006,INDL,C,D,STD,CRWFF,USD,58.3570,I,19.7500
